"","datetime","date","ra1","ra2","raw","ra","comment","chk_note","chk_fail","year"
"152","31/05/1972 08:55:00",1972-05-31,0.254,0,0.254,0.254,"","good","",1972
"153","1/6/72 8:55",1972-06-01,0.762,0,0.762,0.762,"","good","",1972
"154","2/6/72 8:55",1972-06-02,4.572,0,4.572,4.572,"","good","",1972
"155","3/6/72 8:55",1972-06-03,17.018,0,17.018,17.018,"","good","",1972
"156","4/6/72 8:55",1972-06-04,19.304,0,19.304,19.304,"","good","",1972
"157","5/6/72 8:55",1972-06-05,51.054,0,51.054,51.054,"","good","",1972
"158","6/6/72 8:55",1972-06-06,1.016,0,1.016,1.016,"","good","",1972
"159","7/6/72 8:55",1972-06-07,0.762,0,0.762,0.762,"","good","",1972
"160","8/6/72 8:55",1972-06-08,0.762,0,0.762,0.762,"","good","",1972
"161","9/6/72 8:55",1972-06-09,17.78,0,17.78,17.78,"","good","",1972
"162","10/6/72 8:55",1972-06-10,0.254,0,0.254,0.254,"","good","",1972
"163","11/6/72 8:55",1972-06-11,12.446,0,12.446,12.446,"","good","",1972
"164","12/6/72 8:55",1972-06-12,50.8,0,50.8,50.8,"","good","",1972
"165","13/06/1972 08:55:00",1972-06-13,2.54,0,2.54,2.54,"","good","",1972
"166","14/06/1972 08:55:00",1972-06-14,3.556,0,3.556,3.556,"","good","",1972
"167","15/06/1972 08:55:00",1972-06-15,0,0,0,0,"","good","",1972
"168","16/06/1972 08:55:00",1972-06-16,0,0,0,0,"","good","",1972
"169","17/06/1972 08:55:00",1972-06-17,0,0,0,0,"","good","",1972
"170","18/06/1972 08:55:00",1972-06-18,0,0,0,0,"","good","",1972
"171","19/06/1972 08:55:00",1972-06-19,0,0,0,0,"","good","",1972
"172","20/06/1972 08:55:00",1972-06-20,80.518,0,80.518,80.518,"","good","",1972
"173","21/06/1972 08:55:00",1972-06-21,2.286,0,2.286,2.286,"","good","",1972
"174","22/06/1972 08:55:00",1972-06-22,0,0,0,0,"","good","",1972
"175","23/06/1972 08:55:00",1972-06-23,5.588,0,5.588,5.588,"","good","",1972
"176","24/06/1972 08:55:00",1972-06-24,0.254,0,0.254,0.254,"","good","",1972
"177","25/06/1972 08:55:00",1972-06-25,2.032,0,2.032,2.032,"","good","",1972
"178","26/06/1972 08:55:00",1972-06-26,7.62,0,7.62,7.62,"","good","",1972
"179","27/06/1972 08:55:00",1972-06-27,0.508,0,0.508,0.508,"","good","",1972
"180","28/06/1972 08:55:00",1972-06-28,0,0,0,0,"","good","",1972
"181","29/06/1972 08:55:00",1972-06-29,0,0,0,0,"","good","",1972
"182","30/06/1972 08:55:00",1972-06-30,5.08,0,5.08,5.08,"","good","",1972
"183","1/7/72 8:55",1972-07-01,0,0,0,0,"","good","",1972
"184","2/7/72 8:55",1972-07-02,2.54,0,2.54,2.54,"","good","",1972
"185","3/7/72 8:55",1972-07-03,18.034,0,18.034,18.034,"","good","",1972
"186","4/7/72 8:55",1972-07-04,0,0,0,0,"","good","",1972
"187","5/7/72 8:55",1972-07-05,0,0,0,0,"","good","",1972
"188","6/7/72 8:55",1972-07-06,0,0,0,0,"","good","",1972
"189","7/7/72 8:55",1972-07-07,11.938,0,11.938,11.938,"","good","",1972
"190","8/7/72 8:55",1972-07-08,2.54,0,2.54,2.54,"","good","",1972
"191","9/7/72 8:55",1972-07-09,0,0,0,0,"","good","",1972
"192","10/7/72 8:55",1972-07-10,0,0,0,0,"","good","",1972
"193","11/7/72 8:55",1972-07-11,2.794,0,2.794,2.794,"","good","",1972
"194","12/7/72 8:55",1972-07-12,5.334,0,5.334,5.334,"","good","",1972
"195","13/07/1972 08:55:00",1972-07-13,0,0,0,0,"","good","",1972
"196","14/07/1972 08:55:00",1972-07-14,0,0,0,0,"","good","",1972
"197","15/07/1972 08:55:00",1972-07-15,0,0,0,0,"","good","",1972
"198","16/07/1972 08:55:00",1972-07-16,0,0,0,0,"","good","",1972
"199","17/07/1972 08:55:00",1972-07-17,0.254,0,0.254,0.254,"","good","",1972
"200","18/07/1972 08:55:00",1972-07-18,0,0,0,0,"","good","",1972
"201","19/07/1972 08:55:00",1972-07-19,0,0,0,0,"","good","",1972
"202","20/07/1972 08:55:00",1972-07-20,48.006,0,48.006,48.006,"","good","",1972
"203","21/07/1972 08:55:00",1972-07-21,13.97,0,13.97,13.97,"","good","",1972
"204","22/07/1972 08:55:00",1972-07-22,0,0,0,0,"","good","",1972
"205","23/07/1972 08:55:00",1972-07-23,0,0,0,0,"","good","",1972
"206","24/07/1972 08:55:00",1972-07-24,13.716,0,13.716,13.716,"","good","",1972
"207","25/07/1972 08:55:00",1972-07-25,0,0,0,0,"","good","",1972
"208","26/07/1972 08:55:00",1972-07-26,1.27,0,1.27,1.27,"","good","",1972
"209","27/07/1972 08:55:00",1972-07-27,5.588,0,5.588,5.588,"","good","",1972
